pvs_id,sample_index,O21
TR04_SRC112_HRC83,52,4.531
TR04_SRC112_HRC83,53,4.531
TR04_SRC112_HRC83,54,4.531
TR04_SRC112_HRC83,55,4.531
TR04_SRC112_HRC83,56,4.531
TR04_SRC112_HRC83,57,4.531
TR04_SRC112_HRC83,58,4.531
TR04_SRC112_HRC83,59,4.531
TR04_SRC112_HRC83,6,4.554
TR04_SRC112_HRC83,7,4.554
TR04_SRC112_HRC83,8,4.554
TR04_SRC112_HRC83,9,4.554
TR04_SRC118_HRC80,0,4.531
TR04_SRC118_HRC80,1,4.531
TR04_SRC118_HRC80,10,4.531
TR04_SRC118_HRC80,11,4.531
TR04_SRC118_HRC80,12,4.531
TR04_SRC118_HRC80,13,4.531
TR04_SRC118_HRC80,14,4.531
TR04_SRC118_HRC80,15,4.531
TR04_SRC118_HRC80,16,4.531
TR04_SRC118_HRC80,17,4.531
TR04_SRC118_HRC80,18,4.531
TR04_SRC118_HRC80,19,4.531
TR04_SRC118_HRC80,2,4.531
TR04_SRC118_HRC80,20,4.531
TR04_SRC118_HRC80,21,4.531
TR04_SRC118_HRC80,22,4.531
TR04_SRC118_HRC80,23,4.531
TR04_SRC118_HRC80,24,4.531
TR04_SRC118_HRC80,25,4.531
TR04_SRC118_HRC80,26,4.531
TR04_SRC118_HRC80,27,4.531
TR04_SRC118_HRC80,28,4.531
TR04_SRC118_HRC80,29,4.531
TR04_SRC118_HRC80,3,4.531
TR04_SRC118_HRC80,30,4.531
TR04_SRC118_HRC80,31,4.531
TR04_SRC118_HRC80,32,4.531
TR04_SRC118_HRC80,33,4.531
TR04_SRC118_HRC80,34,4.531
TR04_SRC118_HRC80,35,4.531
TR04_SRC118_HRC80,36,4.531
TR04_SRC118_HRC80,37,4.531
TR04_SRC118_HRC80,38,4.531
TR04_SRC118_HRC80,39,4.531
TR04_SRC118_HRC80,4,4.531
TR04_SRC118_HRC80,40,4.531
TR04_SRC118_HRC80,41,4.531
TR04_SRC118_HRC80,42,4.531
TR04_SRC118_HRC80,43,4.531
TR04_SRC118_HRC80,44,4.531
TR04_SRC118_HRC80,45,4.531
TR04_SRC118_HRC80,46,4.531
TR04_SRC118_HRC80,47,4.531
TR04_SRC118_HRC80,48,4.531
TR04_SRC118_HRC80,49,4.531
TR04_SRC118_HRC80,5,4.531
TR04_SRC118_HRC80,50,4.531
TR04_SRC118_HRC80,51,4.531
TR04_SRC118_HRC80,52,4.531
TR04_SRC118_HRC80,53,4.531
TR04_SRC118_HRC80,54,4.531
TR04_SRC118_HRC80,55,4.531
TR04_SRC118_HRC80,56,4.531
TR04_SRC118_HRC80,57,4.531
TR04_SRC118_HRC80,58,4.531
TR04_SRC118_HRC80,59,4.531
TR04_SRC118_HRC80,6,4.531
TR04_SRC118_HRC80,7,4.531
TR04_SRC118_HRC80,8,4.531
TR04_SRC118_HRC80,9,4.531
TR04_SRC120_HRC95,0,4.554
TR04_SRC120_HRC95,1,4.554
TR04_SRC120_HRC95,10,4.531
TR04_SRC120_HRC95,11,4.531
TR04_SRC120_HRC95,12,4.531
TR04_SRC120_HRC95,13,4.531
TR04_SRC120_HRC95,14,4.531
TR04_SRC120_HRC95,15,4.531
TR04_SRC120_HRC95,16,4.531
TR04_SRC120_HRC95,17,4.531
TR04_SRC120_HRC95,18,4.531
TR04_SRC120_HRC95,19,4.531
TR04_SRC120_HRC95,2,4.554
TR04_SRC120_HRC95,20,4.554
TR04_SRC120_HRC95,21,4.554
TR04_SRC120_HRC95,22,4.554
TR04_SRC120_HRC95,23,4.554
TR04_SRC120_HRC95,24,4.554
TR04_SRC120_HRC95,25,4.554
TR04_SRC120_HRC95,26,4.554
TR04_SRC120_HRC95,27,4.554
TR04_SRC120_HRC95,28,4.554
TR04_SRC120_HRC95,29,4.554
TR04_SRC120_HRC95,3,4.554
TR04_SRC120_HRC95,30,4.531
TR04_SRC120_HRC95,31,4.531
TR04_SRC120_HRC95,32,4.531
TR04_SRC120_HRC95,33,4.531
TR04_SRC120_HRC95,34,4.531
TR04_SRC120_HRC95,35,4.531
TR04_SRC120_HRC95,36,4.531
TR04_SRC120_HRC95,37,4.531
TR04_SRC120_HRC95,38,4.531
TR04_SRC120_HRC95,39,4.532
TR04_SRC120_HRC95,4,4.554
TR04_SRC120_HRC95,40,4.554
TR04_SRC120_HRC95,41,4.554
TR04_SRC120_HRC95,42,4.554
TR04_SRC120_HRC95,43,4.554
TR04_SRC120_HRC95,44,4.554
TR04_SRC120_HRC95,45,4.554
TR04_SRC120_HRC95,46,4.554
TR04_SRC120_HRC95,47,4.554
TR04_SRC120_HRC95,48,4.554
TR04_SRC120_HRC95,49,4.554
TR04_SRC120_HRC95,5,4.554
TR04_SRC120_HRC95,50,4.531
TR04_SRC120_HRC95,51,4.531
TR04_SRC120_HRC95,52,4.531
TR04_SRC120_HRC95,53,4.531
TR04_SRC120_HRC95,54,4.531
TR04_SRC120_HRC95,55,4.531
TR04_SRC120_HRC95,56,4.531
TR04_SRC120_HRC95,57,4.531
TR04_SRC120_HRC95,58,4.531
TR04_SRC120_HRC95,59,4.531
TR04_SRC120_HRC95,6,4.554
TR04_SRC120_HRC95,7,4.554
TR04_SRC120_HRC95,8,4.554
TR04_SRC120_HRC95,9,4.554
TR04_SRC129_HRC87,0,4.554
TR04_SRC129_HRC87,1,4.554
TR04_SRC129_HRC87,10,4.554
TR04_SRC129_HRC87,11,4.554
TR04_SRC129_HRC87,12,4.554
TR04_SRC129_HRC87,13,4.554
TR04_SRC129_HRC87,14,4.554
TR04_SRC129_HRC87,15,4.531
TR04_SRC129_HRC87,16,4.531
TR04_SRC129_HRC87,17,4.531
TR04_SRC129_HRC87,18,4.531
TR04_SRC129_HRC87,19,4.532
TR04_SRC129_HRC87,2,4.554
TR04_SRC129_HRC87,20,4.554
TR04_SRC129_HRC87,21,4.554
TR04_SRC129_HRC87,22,4.554
TR04_SRC129_HRC87,23,4.554
TR04_SRC129_HRC87,24,4.553
TR04_SRC129_HRC87,25,4.531
TR04_SRC129_HRC87,26,4.531
TR04_SRC129_HRC87,27,4.531
TR04_SRC129_HRC87,28,4.531
TR04_SRC129_HRC87,29,4.532
TR04_SRC129_HRC87,3,4.554
TR04_SRC129_HRC87,30,4.554
TR04_SRC129_HRC87,31,4.554
TR04_SRC129_HRC87,32,4.554
TR04_SRC129_HRC87,33,4.554
TR04_SRC129_HRC87,34,4.554
TR04_SRC129_HRC87,35,4.554
TR04_SRC129_HRC87,36,4.554
TR04_SRC129_HRC87,37,4.554
